date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip
25,495000,4,2,1940,9144,1,0,0,4,1430,510,1956,0,1375,3,6
67,1205000,4,3,3150,5500,2,0,0,3,3150,0,2014,0,3304,35,48
7,445000,2,2,1150,6634,1,0,0,3,860,290,1940,1996,1291,35,54
4,425000,4,2,1520,7983,1,0,0,5,1520,0,1967,0,928,15,22
52,470000,3,2,2150,8221,2,0,0,3,2150,0,1992,0,1393,32,37
69,735000,3,2,2820,8159,2,0,0,3,2820,0,2004,2003,2643,16,17
48,520000,3,1,1940,219527,1,0,0,3,1940,0,1991,0,1993,21,23
67,550000,3,3,2490,3582,2,0,0,3,1720,770,2005,0,2598,16,15
19,452000,4,2,1660,6150,1,0,0,3,850,810,1945,2010,3797,35,61
60,920000,4,3,4080,10666,2,0,0,3,4080,0,2005,0,4158,31,32
54,270000,3,2,1670,8364,1,0,0,4,1300,370,1990,0,1529,9,26
55,414000,3,2,2490,4540,2,0,0,3,2490,0,2012,1912,3259,32,37
33,499950,3,2,1520,2208,2,0,0,3,1040,480,2007,0,2142,35,58
45,175000,3,1,1220,7300,1,0,0,3,1220,0,1973,2013,3131,1,0
46,280000,4,2,1930,7207,1,0,0,4,1360,570,1988,0,2102,18,18
6,235000,2,1,1270,3008,1,0,0,4,650,620,1923,0,3109,35,57
42,299000,3,1,1180,13927,1,0,0,5,1180,0,1962,0,1431,32,37
66,475000,5,2,2510,8050,1,0,0,4,1490,1020,1977,0,543,19,22
47,650000,5,1,1260,4500,1,0,0,3,1260,0,1926,2003,4042,35,58
68,252000,4,1,1120,8250,1,0,0,4,1120,0,1966,0,459,32,36
56,260000,2,1,700,4800,1,0,0,3,700,0,1922,2008,984,35,59
21,535000,3,2,2210,7620,2,0,0,3,2210,0,1994,0,134,31,31
42,622500,5,2,3320,23760,2,0,0,4,2190,1130,1975,0,882,42,41
43,330000,3,1,1430,8865,1,0,0,3,1430,0,1950,2005,2281,35,60
54,860000,5,3,4500,9648,2,0,4,4,3000,1500,1968,0,3070,35,60
19,600000,4,2,2360,5226,2,0,0,3,2360,0,2001,0,4066,19,22
40,762400,3,1,2430,14607,1,0,1,3,1230,1200,1949,1970,3300,23,25
52,275000,2,1,1180,6552,1,0,0,4,1180,0,1949,1985,1156,36,62
34,886000,4,2,2660,3900,1,0,0,4,1480,1180,1923,0,1538,35,53
5,314500,3,1,1870,12381,1,0,0,4,1870,0,1957,2001,2445,14,2
38,442500,4,2,2170,14024,2,0,0,3,2170,0,1992,0,2324,11,11
49,400000,3,1,1430,10005,1,0,0,4,1430,0,1950,1983,466,35,62
66,530000,3,1,1320,2500,1,0,0,3,870,450,1918,0,1713,35,48
39,475000,2,1,1490,224334,1,0,2,3,1490,0,1983,2009,3341,1,45
21,527550,1,0,820,59677,1,0,0,3,820,0,1999,0,3886,38,38
38,743700,4,2,2610,33206,2,0,0,3,2610,0,1988,2000,1738,31,32
33,837500,4,2,2700,9320,2,0,0,4,2700,0,1994,0,642,19,21
26,799000,4,3,2580,209523,2,0,0,3,2580,0,1984,0,2089,31,32
49,905000,4,3,2970,14486,2,0,0,3,2340,630,1997,0,4258,23,25
5,500000,3,2,1940,37565,1,0,0,4,1940,0,1987,0,1693,16,15
49,850000,3,2,2870,8170,2,0,0,3,2250,620,1995,0,3845,35,63
31,965000,4,2,2460,5000,2,0,0,5,1620,840,1938,0,79,35,53
58,402000,4,2,2950,15540,1,0,0,4,2120,830,1974,0,2026,18,26
59,935000,2,2,1780,2067,2,0,0,5,1780,0,1974,0,1833,3,3
49,443500,4,2,2040,21781,2,0,0,3,2040,0,1994,0,3105,7,10
34,450000,4,1,2000,4676,1,0,0,3,1250,750,1916,1986,3440,35,57
27,302000,2,1,900,423838,1,0,2,5,900,0,1925,0,1482,12,12
25,399950,3,3,1296,1051,3,0,0,3,1296,0,2009,0,481,35,60
55,450000,4,2,2100,4857,2,0,0,3,2100,0,1965,1984,3183,20,67
35,895000,4,3,3240,5562,2,0,0,3,3240,0,2013,1923,1439,33,43
62,370000,2,1,860,5040,1,0,0,3,860,0,1956,2001,4234,35,56
0,630000,4,2,2710,37277,2,0,0,3,2710,0,2000,0,2239,16,15
53,745641,4,2,2440,4850,2,0,0,3,2440,0,2013,1923,340,31,31
2,331950,4,2,2530,9933,2,0,2,3,2010,520,1990,2009,4233,1,45
3,287000,3,1,1450,6000,1,0,0,4,1450,0,1953,1983,4120,35,57
54,190368,2,1,1120,5650,1,0,0,3,1120,0,1944,0,3831,35,71
49,210000,2,2,1680,5756,2,0,0,4,1680,0,1910,0,238,1,1
46,729000,3,1,1580,3840,2,0,0,3,1580,0,1908,1988,255,35,46
29,615000,3,2,1760,1146,3,0,0,3,1760,0,2014,0,3541,35,59
5,365000,5,2,2410,5003,1,0,0,3,1410,1000,2008,0,3948,35,57
19,619420,4,2,2450,14803,2,0,0,4,2450,0,1988,0,4097,25,37
25,375000,3,1,2000,7294,1,0,0,3,1520,480,1965,1993,3398,35,57
31,610000,5,2,3990,3839,1,0,0,4,1990,2000,1962,0,3111,35,53
56,735000,3,2,1490,1212,2,0,0,3,1040,450,2011,0,3089,35,53
38,700000,4,3,3150,7778,2,0,0,3,3150,0,2000,0,1991,33,43
11,665000,3,2,1940,5820,1,0,0,5,1150,790,1944,0,2638,35,50
5,581000,4,2,2510,13695,1,0,0,4,1280,1230,1961,2001,243,19,21
14,370000,4,1,1370,9957,1,0,0,3,900,470,1972,2002,421,19,22
59,427500,2,2,1090,934,3,0,0,3,1090,0,2008,0,1233,35,52
